id,name,content,contain
1,Paris,Known as the city of love,n
2,New York,Known as the city that never sleeps,n
3,London,Home to the British monarchy,n
4,Tokyo,Tokyo is famous for its neon-lit streets,n
5,Barcelona,Barcelona is famous for its stunning architecture,n
6,Moscow,Moscow is famous for its historic landmarks,n
7,Istanbul,Istanbul is famous for its rich cultural heritage,n
8,Dubai,Known for its record-breaking architecture,n
9,Rome,Known as the Eternal City,n
10,Singapore,Singapore is famous for its clean streets,n
