id,name,content,contain
1,Paris,Known as the city of love
2,New York,Known as the city that never sleeps
3,London,Home to the British monarchy
4,Tokyo,Tokyo is famous for its neon-lit streets
5,Barcelona,Barcelona is famous for its stunning architecture
6,Moscow,Moscow is famous for its historic landmarks
7,Istanbul,Istanbul is famous for its rich cultural heritage
8,Dubai,Known for its record-breaking architecture
9,Rome,Known as the Eternal City
10,Singapore,Singapore is famous for its clean streets
